Date Run,Status,Time,# of Errors,# of Warnings,# of Exceptions,Log File,Return Value,Error Message,# of Successes
2021-10-11 22:37:10.099 +0000,"Failure",0:00:49,1,0,1,"20211011_223710.099/LogFile.txt","","Image Not Found -- click Error - No Image Found On Screen: ""AddToCartIcon""",0
2021-10-11 22:38:37.986 +0000,"Failure",0:00:54,1,0,1,"20211011_223837.986/LogFile.txt","","Image Not Found -- waitfor Error - Unable To Find Any Image On Screen ""AddToCartIcon.png"" within 10.00 seconds",0
2021-10-11 22:39:51.760 +0000,"Aborted",0:00:16,1,0,1,"20211011_223951.760/LogFile.txt","","",0
2021-10-11 22:40:09.531 +0000,"Aborted",0:01:05,1,0,0,"20211011_224009.531/LogFile.txt","","",0
2021-10-11 22:42:06.774 +0000,"Aborted",0:00:15,1,0,1,"20211011_224206.774/LogFile.txt","","",0
2021-10-11 22:42:23.255 +0000,"Failure",0:00:46,1,0,0,"20211011_224223.255/LogFile.txt","","Script Error -- Number of Errors logged: 1",0
2021-10-11 22:44:32.585 +0000,"Success",0:00:37,0,0,0,"20211011_224432.585/LogFile.txt","","",1
2021-10-11 22:46:00.711 +0000,"Failure",0:00:50,1,0,0,"20211011_224600.711/LogFile.txt","","Script Error -- Number of Errors logged: 1",0
2021-10-11 22:47:13.030 +0000,"Failure",0:00:45,1,0,0,"20211011_224713.030/LogFile.txt","","Script Error -- Number of Errors logged: 1",0
2021-10-11 22:48:29.697 +0000,"Success",0:00:51,0,0,0,"20211011_224829.697/LogFile.txt","","",1
2021-10-11 22:50:43.851 +0000,"Failure",0:00:00,1,0,1,"20211011_225043.851/LogFile.txt","","No Remote Connection -- doubleclick Error - Remote Connection Unavailable",0
2021-10-11 22:51:00.597 +0000,"Failure",0:00:00,1,0,1,"20211011_225100.597/LogFile.txt","","No Remote Connection -- doubleclick Error - Remote Connection Unavailable",0
2021-10-11 22:51:47.316 +0000,"Success",0:00:53,0,0,0,"20211011_225147.316/LogFile.txt","","",1
2021-10-12 16:38:26.675 +0000,"Failure",0:00:36,1,0,1,"20211012_163826.675/LogFile.txt","","Image Not Found -- click Error - No Image Found On Screen: ""MaximizeIcon""",0
2021-10-12 16:39:31.933 +0000,"Aborted",0:00:31,1,0,1,"20211012_163931.933/LogFile.txt","","",0
2021-10-12 16:40:34.574 +0000,"Failure",0:00:23,1,0,1,"20211012_164034.574/LogFile.txt","","Image Not Found -- doubleclick Error - No Image Found On Screen: ""ChromeIcon""",0
2021-10-12 16:41:03.586 +0000,"Success",0:00:54,0,0,0,"20211012_164103.586/LogFile.txt","","",1
2021-10-12 16:45:52.765 +0000,"Success",0:00:49,0,0,0,"20211012_164552.765/LogFile.txt","","",1
2021-10-12 16:51:08.795 +0000,"Success",0:00:54,0,0,0,"20211012_165108.795/LogFile.txt","","",1
2021-10-12 16:59:19.100 +0000,"Success",0:00:00,0,0,0,"20211012_165919.100/LogFile.txt","","",1
2021-10-12 17:03:05.005 +0000,"Success",0:00:00,0,0,0,"20211012_170305.005/LogFile.txt","","",1
2021-10-12 17:03:50.937 +0000,"Aborted",0:00:16,1,0,0,"20211012_170350.937/LogFile.txt","","",0
2021-10-12 17:04:30.827 +0000,"Success",0:00:49,0,0,0,"20211012_170430.827/LogFile.txt","","",1
2021-10-12 17:09:50.946 +0000,"Success",0:00:00,0,0,0,"20211012_170950.946/LogFile.txt","","",1
