Date Run,Status,Time,# of Errors,# of Warnings,# of Exceptions,Log File,Return Value,Error Message,# of Successes
2021-10-14 15:40:20.287 +0000,"Success",0:00:00,0,0,0,"20211014_154020.287/LogFile.txt","","",1
2021-10-14 15:41:23.418 +0000,"Success",0:00:12,0,0,0,"20211014_154123.418/LogFile.txt","","",1
2021-10-14 15:42:09.529 +0000,"Failure",0:00:41,1,0,1,"20211014_154209.529/LogFile.txt","","Image Not Found -- waitfor Error - Unable To Find Any Image On Screen ""SearchBar"" within 20.00 seconds",0
2021-10-14 15:43:07.455 +0000,"Aborted",0:00:13,1,0,1,"20211014_154307.455/LogFile.txt","","",0
2021-10-14 15:43:23.030 +0000,"Success",0:00:12,0,0,0,"20211014_154323.030/LogFile.txt","","",1
2021-10-14 15:44:05.287 +0000,"Success",0:00:18,0,0,0,"20211014_154405.287/LogFile.txt","","",1
2021-10-14 16:21:15.874 +0000,"Aborted",0:00:39,1,0,0,"20211014_162115.874/LogFile.txt","","",0
2021-10-14 16:23:44.055 +0000,"Success",0:00:37,0,0,0,"20211014_162344.055/LogFile.txt","","",1
2021-10-14 17:34:15.002 +0000,"Aborted",0:11:25,1,0,0,"20211014_173415.002/LogFile.txt","","",0
2021-10-14 17:46:11.936 +0000,"Aborted",0:00:34,1,0,0,"20211014_174611.936/LogFile.txt","","",0
2021-10-14 17:47:27.407 +0000,"Aborted",0:01:43,1,0,0,"20211014_174727.407/LogFile.txt","","",0
2021-10-14 17:49:28.268 +0000,"Failure",0:00:58,1,0,1,"20211014_174928.268/LogFile.txt","","Image Not Found -- waitfor Error - Unable To Find Any Image On Screen ""Squares/GreenSquare"" within 15.00 seconds",0
2021-10-14 17:50:42.208 +0000,"Failure",0:00:51,1,0,1,"20211014_175042.208/LogFile.txt","","Image Not Found -- click Error - No Image Found On Screen: ""TextArea""  Restricted Search Rectangle ((80,388),(131,424))\n",0
2021-10-14 17:52:52.720 +0000,"Success",0:00:33,0,0,0,"20211014_175252.720/LogFile.txt","","",1
2021-10-14 17:53:58.810 +0000,"Failure",0:00:33,1,0,1,"20211014_175358.810/LogFile.txt","","File Not Found -- click Error - Could Not Open Image: Submit\r",0
2021-10-14 17:56:17.418 +0000,"Aborted",0:00:11,1,0,1,"20211014_175617.418/LogFile.txt","","",0
2021-10-14 17:56:32.343 +0000,"Success",0:00:40,0,0,0,"20211014_175632.343/LogFile.txt","","",1
