Date Run,Status,Time,# of Errors,# of Warnings,# of Exceptions,Log File,Return Value,Error Message,# of Successes
2021-10-14 19:36:34.179 +0000,"Success",0:00:00,0,0,0,"20211014_193634.179/LogFile.txt","","",1
2021-10-14 19:38:20.553 +0000,"Success",0:00:00,0,0,0,"20211014_193820.553/LogFile.txt","","",1
2021-10-14 19:41:16.296 +0000,"Failure",0:00:00,1,0,0,"20211014_194116.296/LogFile.txt","","STUnknownMessage -- ERROR: No Such Function: 'avg'",0
2021-10-14 19:41:26.649 +0000,"Success",0:00:00,0,0,0,"20211014_194126.649/LogFile.txt","","",1
2021-10-14 19:49:43.711 +0000,"Success",0:00:00,0,0,0,"20211014_194943.711/LogFile.txt","","",1
2021-10-14 19:53:00.556 +0000,"Success",0:00:00,0,0,0,"20211014_195300.556/LogFile.txt","","",1
2021-10-14 19:53:09.958 +0000,"Success",0:00:00,0,0,0,"20211014_195309.958/LogFile.txt","","",1
2021-10-14 19:58:11.067 +0000,"Success",0:00:00,0,0,0,"20211014_195811.067/LogFile.txt","","",1
2021-10-14 19:58:34.644 +0000,"Success",0:00:00,0,0,0,"20211014_195834.644/LogFile.txt","","",1
2021-10-14 20:00:50.397 +0000,"Success",0:00:00,0,0,0,"20211014_200050.397/LogFile.txt","","",1
