Date Run,Status,Time,# of Errors,# of Warnings,# of Exceptions,Log File,Return Value,Error Message,# of Successes
2021-10-13 14:58:35.523 +0000,"Success",0:00:00,0,0,0,"20211013_145835.523/LogFile.txt","","",1
2021-10-13 14:59:44.557 +0000,"Success",0:00:00,0,0,0,"20211013_145944.557/LogFile.txt","","",1
2021-10-13 15:01:25.008 +0000,"Success",0:00:00,0,0,0,"20211013_150125.008/LogFile.txt","","",1
2021-10-13 15:01:31.178 +0000,"Success",0:00:08,0,0,0,"20211013_150131.178/LogFile.txt","","",1
2021-10-13 15:07:34.388 +0000,"Success",0:00:00,0,0,0,"20211013_150734.388/LogFile.txt","","",1
2021-10-13 15:09:01.321 +0000,"Success",0:00:00,0,0,0,"20211013_150901.321/LogFile.txt","","",1
2021-10-13 15:09:21.203 +0000,"Success",0:00:00,0,0,0,"20211013_150921.203/LogFile.txt","","",1
2021-10-13 15:09:40.187 +0000,"Success",0:00:00,0,0,0,"20211013_150940.187/LogFile.txt","","",1
2021-10-13 15:11:26.998 +0000,"Success",0:00:00,0,0,0,"20211013_151126.998/LogFile.txt","","",1
2021-10-13 15:11:39.039 +0000,"Success",0:00:00,0,0,0,"20211013_151139.039/LogFile.txt","","",1
2021-10-13 15:12:10.328 +0000,"Success",0:00:00,0,0,0,"20211013_151210.328/LogFile.txt","","",1
2021-10-13 15:12:20.317 +0000,"Success",0:00:00,0,0,0,"20211013_151220.317/LogFile.txt","","",1
2021-10-13 15:12:59.719 +0000,"Success",0:00:00,0,0,0,"20211013_151259.719/LogFile.txt","","",1
2021-10-13 15:20:25.173 +0000,"Success",0:00:00,0,0,0,"20211013_152025.173/LogFile.txt","","",1
2021-10-13 15:20:32.286 +0000,"Success",0:00:00,0,0,0,"20211013_152032.286/LogFile.txt","","",1
2021-10-13 16:10:00.850 +0000,"Success",0:00:00,0,0,0,"20211013_161000.850/LogFile.txt","","",1
2021-10-13 16:10:53.739 +0000,"Success",0:00:00,0,0,0,"20211013_161053.739/LogFile.txt","","",1
2021-10-13 16:12:01.868 +0000,"Failure",0:00:00,1,0,0,"20211013_161201.868/LogFile.txt","","STFileException -- Failed to write to file C:/Users/claudio.sotoayala/Documents/Hello world my friends\r\nThis is an example\r\nOf reading from a file\r\nUsing eggplant to do it\rClaudio is the best engineer",0
2021-10-13 16:12:26.062 +0000,"Failure",0:00:00,1,0,0,"20211013_161226.062/LogFile.txt","","STFileException -- Failed to write to file C:/Users/claudio.sotoayala/Documents/Hello world my friends\r\nThis is an example\r\nOf reading from a file\r\nUsing eggplant to do it\rClaudio is the best engineer",0
2021-10-13 16:12:42.140 +0000,"Failure",0:00:00,1,0,0,"20211013_161242.140/LogFile.txt","","STFileException -- Failed to write to file C:/Users/claudio.sotoayala/Documents/Hello world my friends\r\nThis is an example\r\nOf reading from a file\r\nUsing eggplant to do it\rClaudio is the best engineer",0
2021-10-13 16:13:01.979 +0000,"Success",0:00:00,0,0,0,"20211013_161301.979/LogFile.txt","","",1
2021-10-13 16:21:38.854 +0000,"Success",0:00:00,0,0,0,"20211013_162138.854/LogFile.txt","","",1
