Date Run,Status,Time,# of Errors,# of Warnings,# of Exceptions,Log File,Return Value,Error Message,# of Successes
2021-10-15 14:55:07.475 +0000,"Success",0:00:00,0,0,0,"20211015_145507.475/LogFile.txt","","",1
2021-10-15 14:55:19.536 +0000,"Success",0:00:00,0,0,0,"20211015_145519.536/LogFile.txt","","",1
2021-10-15 15:02:26.315 +0000,"Success",0:00:00,0,0,0,"20211015_150226.315/LogFile.txt","","",1
2021-10-15 15:03:47.657 +0000,"Success",0:00:00,0,0,0,"20211015_150347.657/LogFile.txt","","",1
2021-10-15 15:04:24.714 +0000,"Success",0:00:00,0,0,0,"20211015_150424.714/LogFile.txt","","",1
2021-10-15 15:47:02.569 +0000,"Failure",0:00:00,1,0,0,"20211015_154702.569/LogFile.txt","","STUnknownMessage -- ERROR: No Such Function: 'item'",0
2021-10-15 15:48:35.170 +0000,"Failure",0:00:00,1,0,0,"20211015_154835.170/LogFile.txt","","STUnknownMessage -- ERROR: No Such Function: 'item'",0
2021-10-15 15:49:26.634 +0000,"Failure",0:00:00,1,0,0,"20211015_154926.634/LogFile.txt","","STUnknownMessage -- ERROR: No Such Function: 'item'",0
2021-10-15 15:49:40.093 +0000,"Failure",0:00:00,1,0,0,"20211015_154940.093/LogFile.txt","","STUnknownMessage -- ERROR: No Such Function: 'item'",0
2021-10-15 15:50:23.729 +0000,"Success",0:00:00,0,0,0,"20211015_155023.729/LogFile.txt","","",1
2021-10-15 15:50:31.985 +0000,"Success",0:00:00,0,0,0,"20211015_155031.985/LogFile.txt","","",1
2021-10-15 15:50:39.775 +0000,"Failure",0:00:00,1,0,0,"20211015_155039.775/LogFile.txt","","STUnknownMessage -- ERROR: No Such Function: 'item'",0
2021-10-15 15:50:50.517 +0000,"Failure",0:00:00,1,0,0,"20211015_155050.517/LogFile.txt","","STUnknownMessage -- ERROR: No Such Function: 'item'",0
2021-10-15 15:52:11.717 +0000,"Failure",0:00:00,1,0,0,"20211015_155211.717/LogFile.txt","","STUnknownMessage -- ERROR: No Such Function: 'item'",0
2021-10-15 15:52:21.057 +0000,"Success",0:00:00,0,0,0,"20211015_155221.057/LogFile.txt","","",1
2021-10-15 15:52:29.224 +0000,"Success",0:00:00,0,0,0,"20211015_155229.224/LogFile.txt","","",1
2021-10-15 15:54:00.468 +0000,"Failure",0:00:00,1,0,0,"20211015_155400.468/LogFile.txt","","STUnknownMessage -- ERROR: No Such Function: 'item'",0
2021-10-15 15:54:10.202 +0000,"Success",0:00:00,0,0,0,"20211015_155410.202/LogFile.txt","","",1
2021-10-15 15:54:47.738 +0000,"Success",0:00:00,0,0,0,"20211015_155447.738/LogFile.txt","","",1
2021-10-15 15:54:56.291 +0000,"Success",0:00:00,0,0,0,"20211015_155456.291/LogFile.txt","","",1
2021-10-15 15:55:34.243 +0000,"Success",0:00:00,0,0,0,"20211015_155534.243/LogFile.txt","","",1
2021-10-15 15:59:19.475 +0000,"Success",0:00:00,0,0,0,"20211015_155919.475/LogFile.txt","","",1
2021-10-15 15:59:54.268 +0000,"Success",0:00:00,0,0,0,"20211015_155954.268/LogFile.txt","","",1
2021-10-15 16:00:13.917 +0000,"Success",0:00:00,0,0,0,"20211015_160013.917/LogFile.txt","","",1
2021-10-15 16:00:42.958 +0000,"Success",0:00:00,0,0,0,"20211015_160042.958/LogFile.txt","","",1
2021-10-15 16:00:52.800 +0000,"Success",0:00:00,0,0,0,"20211015_160052.800/LogFile.txt","","",1
2021-10-15 16:01:07.359 +0000,"Success",0:00:00,0,0,0,"20211015_160107.359/LogFile.txt","","",1
2021-10-15 16:02:21.218 +0000,"Success",0:00:00,0,0,0,"20211015_160221.218/LogFile.txt","","",1
2021-10-15 16:06:24.913 +0000,"Success",0:00:00,0,0,0,"20211015_160624.913/LogFile.txt","","",1
2021-10-15 16:11:43.733 +0000,"Success",0:00:03,0,0,0,"20211015_161143.733/LogFile.txt","","",1
2021-10-15 16:14:12.537 +0000,"Success",0:00:06,0,0,0,"20211015_161412.537/LogFile.txt","","",1
2021-10-15 16:15:09.761 +0000,"Success",0:00:07,0,0,0,"20211015_161509.761/LogFile.txt","","",1
2021-10-15 16:18:48.848 +0000,"Aborted",0:00:05,1,0,1,"20211015_161848.848/LogFile.txt","","",0
2021-10-15 16:20:15.675 +0000,"Aborted",0:00:28,1,0,1,"20211015_162015.675/LogFile.txt","","",0
2021-10-15 16:20:56.189 +0000,"Success",0:00:08,0,0,0,"20211015_162056.189/LogFile.txt","","",1
2021-10-15 16:21:40.638 +0000,"Success",0:00:07,0,0,0,"20211015_162140.638/LogFile.txt","","",1
2021-10-15 16:23:29.877 +0000,"Aborted",0:00:16,1,0,1,"20211015_162329.877/LogFile.txt","","",0
2021-10-15 18:01:11.868 +0000,"Aborted",0:00:02,1,0,1,"20211015_180111.868/LogFile.txt","","",0
